reason,source_file,sheet,row,client,audit_type,best_candidate,second_candidate,unmatched_people,conflicts
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,66,АО Ак Бидай - Терминал,Аудит ФО,"АО ""АК БИДАЙ- ТЕРМИНАЛ"" (290)",АО АК БИДАЙ-ТЕРМИНАЛ - Аудит финансовой отчетности за 2025 года (114),,partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Шынгыс Сартаев
project_match_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,69,Междунаролный арбитражный центр,Аудит ФО,Международный арбитражный центр МФЦА (МАЦ)  (68),ТОО Расчетно-финансовый центр по поддержке возобновляемых источников энергии» (19),,
project_match_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,70,Суд МФЦА,Аудит ФО,Суд Международного финансового центра «Астана»  (72),"АО ""Компания по страхованию жизни ""Государственная аннуитетная компания"" (60)",,
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,72,ТОО Фридом Финанс Кредит,Аудит ФО,ТОО «Микрофинансовая организация ФРИДОМ ФИНАНС Кредит» (97),"	АО ""Социально-предпринимательская корпорация ""Актобе"" (за 2024-2026гг) - Закуп услуги по проведению аудита финансовой отчетности за 2024–2025-2026 годы Акционерного общества «Социально-предпринимательская
корпорация «Актобе»

Аудит за 2026 год (31)",,"partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сейфуллина Гульмира Саятхановна; partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Арнабекова Гулшат; partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Забира Ерланкызы; partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Чалова Гульжан"
"project_match_conflict; team_conflict",1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,73,АО Фонд ФПК,Аудит ФО,АО «Акционерный инвестиционный фонд недвижимости «TG AL-Farabi» от Тримовой Сауле (72),Корпоративный фонд «Zhyly Zhurek Foundation» (72),,"partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева; partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Ержан Тумабеков"
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,77,ТОО Уранэнерго,Аудит ФО,ТОО «Уранэнерго»  (210),,,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Жаркымбекова Камиля
"project_match_conflict; team_conflict",1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,86,ТОО СИКА Казахстан,Аудит ФО,ТОО «Сика Сентрал Эйша» (85),ТОО Сика Сентрал Эйша «Master Builders (85),,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Хаирбеков Адиль
team_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,90,ТОО Turkistan Silk Harbor,Аудит ФО,ТОО «TURKISTAN SILK WAY HARBOR»  (85),"ТОО «TURKISTAN SILK WAY HARBOR» - услуги по проведению аудита консолидированной финансовой отчетности Частной Компании Tethys International Touristic Hub Ltd. (включая дочерние компании), подготовленной в соответствии с международными стандартами финансовой отчетности за год, завершающийся 31 декабря 2025 года. Валюта презентации финансовой отчетности – тенге (29)",,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Шынгыс Сартаев
project_match_conflict,1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,92,Turkestan Tourism City Ltd.,Аудит ФО,Частная Компания Aktau Tourism City Ltd (68),Частная Компания Turkistan Tourism City Ltd (68),,
"project_match_conflict; team_conflict",1 кв Проекты 2024_RBI.xlsx,Проекты 1 кв 2024,94,IC Petrolium,Аудит ФО,"Товарищество с ограниченной ответственностью Documentolog - 1.1. Заказчик поручает и оплачивает, а Исполнитель
принимает на себя обязательство по оказанию
Заказчику услуг по проведению:
1.1.1. аудита финансовой отчетности ТОО
Documentolog, за 2023-2025 годы, в соответствии с
МСФО и МСА. Валюта презентации финансовой
отчетности – в долларах США или в тенге;
1.1.2. аудита финансовой отчетности Частной
компании Documentolog Global Limited, за 2023-
2025 годы, в соответствии с МСФО и МСА. Валюта
презентации финансовой отчетности – в долларах
США или в тенге;
1.1.3. аудита финансовой отчетности Частной
компании открытого инвестиционного типа IT
Development Fund OEIC Ltd., за 2024-2025 годы, в
соответствии с МСФО и МСА. Валюта презентации
финансовой отчетности – в долларах США или в
тенге (далее – услуги/Услуги). (84)","Частная компания Unicorn Holdings Limited - услуг по проведению аудита финансовой отчетности Частной компании Unicorn Holdings Limited, за 2024 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США или в тенге (84)",,partner differs: existing c7fc625d-7836-4eed-90bb-b14541040f42 vs Сейфуллина Гульмира Саятхановна
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,6,SPC Limited,Аудит ФО,"Частная компания  Golden Leaves Ltd - услуг по проведению:
1.1.1. аудита консолидированной финансовой отчетности Частной компании  Golden Leaves Ltd., за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США;
1.1.2. аудита финансовой отчетности Kaz Financials SPC Limited, за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США;
1.1.3. аудита финансовой отчетности Global Fund A SPC Limited., за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США  (194)",Компания специального назначения FF IUIF Fixed Income USD SPC Limited  - услуг по проведению аудита финансовой отчетности Компании специального назначения FF IUIF Fixed Income USD SPC Limited за период 2025 год (далее – «Услуги») по стандартам МСФО. Валюта презентации финансовой отчетности – в долларах США (194),,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,8,АО КазмунайГаз -Сервис NS,Аудит ФО,АО «КазМунайГаз-Сервис NS» (за период 2023-2025) (170),АО «КазМунайГаз-Сервис NS» (за период 2026-2029) (170),,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,12,АО Ак Бидай-Терминал,Аудит ФО,"АО ""АК БИДАЙ- ТЕРМИНАЛ"" (290)",АО АК БИДАЙ-ТЕРМИНАЛ - Аудит финансовой отчетности за 2025 года (194),,partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Арнабеков Ерлан
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,13,АО КазМунайГаз-Сервис NS,Аудит ФО,АО «КазМунайГаз-Сервис NS» (за период 2023-2025) (170),АО «КазМунайГаз-Сервис NS» (за период 2026-2029) (170),,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,15,Евразийский Банк Развития,Аудит ФО,Евразийский Банк Развития (290),Евразийский Банк Развития (ЕАБР) (170),,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Жумадилов Бакыт
"project_match_conflict; team_conflict",1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,16,Консолидированная Строительная Горнорудная Компания ТОО,Аудит ФО,"ТОО «Консолидированная Строительная Горнорудная Компания» - услуг по проведению аудита финансовой отчетности ТОО «Консолидированная Строительная Горнорудная Компания» за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО)  (74)",ТОО «Консолидированная Строительная Горнорудная Компания» (50),,partner differs: existing c7fc625d-7836-4eed-90bb-b14541040f42 vs Сейфуллина Гульмира Саятхановна
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,17,МАЦ МФЦА,Аудит ФО,Международный арбитражный центр МФЦА (МАЦ)  (85),"Частная компания Neomarkets Ltd., - 1.1.	 Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику услуг:
- Аудит финансовой отчетности Частной компании Neomarkets Ltd. за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО). Валюта презентации финансовой отчетности – в тенге и в USD.
- Проверка корректности расчетов пруденциальных нормативов Частной Компании Neomarkets Ltd. в течение года и содержания квартальной отчетности по ним, направленной Регулятору МФЦА, в соответствии с требованиями НПА МФЦА за 2025 год (далее – услуги).
 (84)",,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,18,Суд МФЦА,Аудит ФО,"Республиканское государственное учреждение «Министерство финансов Республики Казахстан» - Аудита инвестиционных проектов, финансируемых Международным Банком Реконструкции и Развития (МБРР), за период с 1 января 2025 года по 31 декабря 2025 года

 (84)","Частная компания Qazaqstan Investment Capital Management Ltd. - аудиторские услуги, включая Сопутствующие услуги, по проведению аудита отдельной финансовой отчетности Заказчика, подготовленные в соответствии с МСФО и в соответствии с перечнем, формами, утвержденными нормативным актом уполномоченного государственного органа Республики Казахстан в соответствии с Законом Республики Казахстан №234-III «О бухгалтерском учете и финансовой отчетности» по состоянию за год, заканчивающийся 31 декабря 2025 года (84)",,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,23,ТОО IC Petroleum,Аудит ФО,ТОО «IC Petroleum» (255),ТОО BSG Oil дочка ТОО IC Petroleum - услуги аудита финансовой отчетности  (159),,partner differs: existing abcc8390-7263-4e9a-aefd-fd177a8509bd vs Арнабеков Ерлан
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,24,ТОО Oil Construction Company,Аудит ФО,ТОО «Oil Construction Company» (за период 2022-2024) (170),ТОО «Oil Construction Company» (за период 2025-2027) (170),,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,34,ТОО Женис Оперейтинг,Аудит ФО,ТОО Женис Оперейтинг (за период 2023-2025) (170),ТОО «Аль-Фараби Оперейтинг» (60),,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Кенжекулов Адилжан Абдикалыкович
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,35,ТОО Казахстанская авиационная индустрия,Аудит ФО,ТОО КАЗАХСТАНСКАЯ АВИАЦИОННАЯ ИНДУСТРИЯ (255),,,partner differs: existing abcc8390-7263-4e9a-aefd-fd177a8509bd vs Арнабеков Ерлан
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,36,ТОО КазмунайГаз-Аэро,Аудит ФО,ТОО КазМунайГаз-Аэро (290),ТОО «КазМунайГаз – Аэро» (за период 2023-2027) (170),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Арнабеков Ерлан
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,43,ТОО Микр. организация ФРИДОМ ФИНАНС Кредит,Аудит ФО,ТОО «Микрофинансовая организация ФРИДОМ ФИНАНС Кредит» (97),"ТОО Микрофинансовая организация InvesCore Finance - 1.1 Аудит финансовой отчетности ТОО «Микрофинансовая организация МФО InvesCore Finance» за 2025 год, подготовленной в соответствии с Международными стандартами финансовой отчетности, (далее – Услуги);
1.2	Проведение онлайн-встречи с материнской компанией (Комитет по аудиту) и возможной встречи с групповым аудитором для обсуждения аудиторского отчёта, не более 8 (восьми) часов
 (89)",,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,49,АО Национальная Платежная корпорация НБРК,Аудит ФО,"Акционерное общество ""Национальная платежная корпорация Национального Банка Республики Казахстан"" - АУДИТ за 2024 (85)",АО «Национальная платежная корпорация Национального Банка Республики Казахстан» (73),,"partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Арнабеков Ерлан; partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Кенжекулов Адилжан Абдикалыкович"
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,75,ТОО ИЗА,,ТОО «Микрофинансовая организация ФРИДОМ ФИНАНС Кредит» (85),Евразийский фонд стабилизации и развития (85),,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,80,ТОО ЕТС Клиринговый центр,Аудит ФО,"Филиал Корпорации «Центры для международных программ» в Казахстане - аудит финансовой отчетности Филиала Корпорации «Центры для международных программ» в Казахстане за год, закончившийся 31 декабря 2025 года, в соответствии с местными стандартами  (92)","Объединение юридических лиц «Ассоциация «Сеть Глобального Договора в Центральной Азии»» - услуги по проведению аудита финансовой отчетности Объединения юридических лиц «Ассоциация «Сеть Глобального Договора в Центральной Азии» (дата государственной регистрации — 04.06.2025 г.) за 2025 год, подготовленной в соответствии с Международными стандартами финансовой отчетности (МСФО)  (92)",,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,82,TG Global,Аудит ФО,ЧК Открытого Инвестиционного Типа Tg Global Raimondo Fund Oeic Limited - Услуги по проведению аудита отдельной и консолидированной финансовой отчётности (194), Частная компания открытого инвестиционного типа TG Global PRE-IPO Fund I OEIC Limited. - Услуги по проведению аудита отдельной и консолидированной финансовой отчётности (194),,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,87,"Филиал ""Мангистау Пауэр Б.В.""",Аудит ФО,"Филиал компании «Мангистау Пауэр Б.В.»  - 1.1.	Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику:
1.1.1. Аудит финансовой отчетности за год, закончившийся 31 декабря 2025 года, в соответствии с местными стандартами;
1.1.2. Выполнение указаний аудиторов Группы  (74)","Филиал компании «Мангистау Реньюваблс Б.В.» - 1.1.	Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику:
1.1.1. Аудит финансовой отчетности за год, закончившийся 31 декабря 2025 года, в соответствии с местными стандартами;
1.1.2. Выполнение указаний аудиторов Группы  (57)",,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,88,"Филиал ""Мангистау Реньюваблс Б.В.""",Аудит ФО,"Филиал компании «Мангистау Реньюваблс Б.В.» - 1.1.	Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику:
1.1.1. Аудит финансовой отчетности за год, закончившийся 31 декабря 2025 года, в соответствии с местными стандартами;
1.1.2. Выполнение указаний аудиторов Группы  (74)","Филиал компании «Мангистау Пауэр Б.В.»  - 1.1.	Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику:
1.1.1. Аудит финансовой отчетности за год, закончившийся 31 декабря 2025 года, в соответствии с местными стандартами;
1.1.2. Выполнение указаний аудиторов Группы  (57)",,
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,89,ЧК Kazakhstan Investment Development Fund ( KIDF) Management Company Ltd.,Аудит ФО,«Kazakhstan Investment Development Fund (KIDF) Management Company» Ltd. (170),"Частная Компания «Kazakhstan Investment Development Fund (KIDF) Management Company» Ltd. - услуги по проведению аудита финансовой отчетности (далее – финансовая отчетность) Частной компании «Kazakhstan Investment Development Fund (KIDF) Management Company» Ltd. (далее – KIDF), подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (далее - МСФО) по состоянию на и за год, завершившийся 31 декабря 2025 года (109)",,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Кенжекулов Адилжан Абдикалыкович
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,93,ЧК Fin Q,Аудит ФО,"Частная компания  Golden Leaves Ltd - услуг по проведению:
1.1.1. аудита консолидированной финансовой отчетности Частной компании  Golden Leaves Ltd., за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США;
1.1.2. аудита финансовой отчетности Kaz Financials SPC Limited, за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США;
1.1.3. аудита финансовой отчетности Global Fund A SPC Limited., за 2025 год, в соответствии с МСФО и МСА. Валюта презентации финансовой отчетности – в долларах США  (109)",ТОО FINSOFT SOLUTOIN  - услуг по проведению аудита финансовой отчетности за 2025 год (109),,
project_match_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,100,ЧК AIFC Markets Limited,Аудит ФО,"Частная компания Neomarkets Ltd., - 1.1.	 Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику услуг:
- Аудит финансовой отчетности Частной компании Neomarkets Ltd. за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО). Валюта презентации финансовой отчетности – в тенге и в USD.
- Проверка корректности расчетов пруденциальных нормативов Частной Компании Neomarkets Ltd. в течение года и содержания квартальной отчетности по ним, направленной Регулятору МФЦА, в соответствии с требованиями НПА МФЦА за 2025 год (далее – услуги).
 (84)","Amicorp Fund Services (AIFC) Limited  - услуг по проведению аудита финансовой отчетности Amicorp Fund Services (AIFC) Limited, за 2025 год, в соответствии с МСФО и МСА. (84)",,
"project_match_conflict; team_conflict",1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,102,ТОО Запад Строй Е Р С,Аудит ФО,Евразийский фонд стабилизации и развития - аудит финансовой отчетности специального назначения по Проекту «Строительство и материально-техническое оснащение общеобразовательных учреждений в Кыргызской Республике» по состоянию на 31 декабря 2025 года (84),"ТОО «Консолидированная Строительная Горнорудная Компания» - услуг по проведению аудита финансовой отчетности ТОО «Консолидированная Строительная Горнорудная Компания» за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО)  (84)",,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Кудайбергенова Шолпанай
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,111,ТОО Баспана Алматы,Аудит ФО,ТОО Алматыэлектротранс - Аудит финансовой отчетности за 2025-2027 годы (84),СПК АЛМАТЫ+ 6 ДОЧЕК. ОТДЕЛЬНЫЕ И КОНС. - АУДИТ за 2024 (72),,"partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9, 64bedf5b-cd47-4476-b7ae-89c1488e21be, c7fc625d-7836-4eed-90bb-b14541040f42 vs Кудайбергенова Шолпанай"
team_conflict,1 кв Проекты 2025_RBI.xlsx,Проекты 1 кв 2025,113,ТОО Salem social media,Аудит ФО,ТОО «Salem social media» (290),Частная компания Most Media Limited (7),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Арнабеков Ерлан
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,7,Акционерное общество «Национальная горнорудная компания «Taу-Keн Самрук»,,АО «Национальная горнорудная компания «Тау-Кен Самрук» (аудит за 2025-2029гг) (65),,,
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,10,АО КазМунайГаз-Сервис NS,,АО «КазМунайГаз-Сервис NS» (за период 2023-2025) (170),АО «КазМунайГаз-Сервис NS» (за период 2026-2029) (170),,
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,11,АО Национальная Платежная корпорация НБРК,,АО «Национальная платежная корпорация Национального Банка Республики Казахстан» (73),"Акционерное общество ""Национальная платежная корпорация Национального Банка Республики Казахстан"" - АУДИТ за 2024 (73)",,
team_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,13,АО ШалкияЦинк ЛТД,,АО «АО «ШалкияЦинк ЛТД» (аудит за 2025-2029гг) (170),ТОО «КАСПИЙ  ҚҰРЫЛЫС  ЛТД» (60),,partner differs: existing ba3d0a39-e789-4eed-8890-64dca41dbdd9 vs Кенжекулов Адилжан Абдикалыкович
team_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,14,Евразийский Банк Развития,,Евразийский Банк Развития (290),Евразийский Банк Развития (ЕАБР) (170),,partner differs: existing 3ceb66d6-1ecf-4ab2-8a98-aa2436b9d0fd vs Кудайбергенова Шолпанай
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,15,Евразийский национальный университет имени Л.Н.Гумилева,,"Некоммерческое акционерное общество ""Евразийский национальный университет имени Л.Н.Гумилева"" - Услуги по проведению аудита финансовой отчетности (170)",НАО «Евразийский национальный университет имени Л.Н.Гумилева» (170),,
"project_match_conflict; team_conflict",1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,17,Консолидированная Строительная Горнорудная Компания ТОО,,ТОО «Консолидированная Строительная Горнорудная Компания» (85),"ТОО «Консолидированная Строительная Горнорудная Компания» - услуг по проведению аудита финансовой отчетности ТОО «Консолидированная Строительная Горнорудная Компания» за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО)  (85)",,"partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Арнабеков Ерлан; project leader differs: existing 967d77e8-774f-4a9a-a5db-37c33e6dc729 vs Сейфуллина Гульмира Саятхановна"
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,19,Микрофинансовая организация MOST ТОО,,ТОО «Микрофинансовая Организация «MOST» (85),"ТОО «Микрофинансовая Организация «MOST» - услуг по проведению аудита финансовой отчетности ТОО «Микрофинансовая Организация «MOST», за 2025 год, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (МСФО) (85)",,
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,20,Самрук-Қазына Инвест ТОО,,"ТОО ""Самрук-Қазына Инвест"" (85)","ТОО «Самрук-Казына Инвест», ОТДЕЛЬНАЯ и КОНСОЛИД ПО ФОРМАМ - ОБЗОР за 6 МЕС 2025 (85)",,
team_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,26,ТОО IC Petroleum,,ТОО «IC Petroleum» (290),ТОО BSG Oil дочка ТОО IC Petroleum - услуги аудита финансовой отчетности  (170),,partner differs: existing abcc8390-7263-4e9a-aefd-fd177a8509bd vs Арнабеков Ерлан
"project_match_conflict; team_conflict",1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,27,ТОО Oil Construction Company,,ТОО «Oil Construction Company» (за период 2022-2024) (170),ТОО «Oil Construction Company» (за период 2025-2027) (170),,partner differs: existing 4cb72e5f-7375-4278-bd38-b29a7e4a197c vs Сауле Бадамбаева
project_match_conflict,1 кв Проекты 2026_RBI.xlsx,Проекты 1 кв 2026,34,ТОО МФО ФРИДОМ ФИНАНС Кредит,,ТОО «Микрофинансовая организация ФРИДОМ ФИНАНС Кредит» (73),"ТОО Первое кредитное бюро - 1.1.	Заказчик поручает и оплачивает, а Исполнитель принимает на себя обязательство по оказанию Заказчику:
1.1.1.	услуг по проведению аудита финансовой отчетности ТОО «Первое кредитное бюро» за период с 1 января 2025 года по 31 декабря 2025 года, подготовленной в соответствии с Международными Стандартами Финансовой Отчетности (далее – аудит);
1.1.2.	консультационные услуги по вопросам бухгалтерского и налогового учета в соответствии с п. 1.1.2 (в размере 15 часов в течение года)
 (60)",,
